nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
コロンビア共和国,コロンビア,CO,COL,SouthAmerica,ボゴタ,メデジン,false,4.5980556,-74.0758333,,哥倫比亜,,48759958,BRA,EC,PA,PE,VE,,,,,,,,,,,UN,PA,USAN,1141748
コモロ連合,コモロ,KM,COM,Africa,モロニ,ムツァムドゥ,true,-11.7012319,43.252927,,科摩羅,,806153,,,,,,,,,,,,,,,,UN,AU,AL,1862
カーボヴェルデ共和国,カーボヴェルデ,CV,CPV,Africa,プライア,ミンデロ,true,14.930464,-23.512669,,佛得角,,531239,,,,,,,,,,,,,,,,UN,AU,,4033
コスタリカ共和国,コスタリカ,CR,CRI,NorthAmerica,サンホセ,カルタゴ,false,9.927128,-84.082012,,哥斯達黎加,,4890379,NIC,PA,,,,,,,,,,,,,,UN,CAIS,,51100
キューバ共和国,キューバ,CU,CUB,NorthAmerica,ハバナ,サンティアーゴ・デ・クーバ,true,23.1168,-82.388557,,玖馬,,11239004,,,,,,,,,,,,,,,,UN,,,109884
キプロス共和国,キプロス,CY,CYP,Europe,ニコシア,リマソール,true,35.1666667,33.3666667,,居比路,,847000,GBR,,,,,,,,,,,,,,,UN,EU,,9251
チェコ共和国,チェコ,CZ,CZE,Europe,プラハ,ブルノ,false,50.0755381,14.4378005,Single,捷克,,10558524,AUT,DE,PL,SK,,,,,,,,,,,,UN,EU,,78865
ドイツ連邦共和国,ドイツ,DE,DEU,Europe,ベルリン,ハンブルク,false,52.519171,13.4060912,,独逸,独,81770900,AUT,BE,CZ,DK,FR,LU,NL,PL,CH,,,,,,,UN,EU,,357121
ジブチ共和国,ジブチ,DJ,DJI,Africa,ジブチ,アリ・サビエ,false,11.825138,42.590275,,吉布提,,900000,ERI,ET,SO,,,,,,,,,,,,,UN,AU,AL,23200
ドミニカ国,ドミニカ国,DM,DMA,NorthAmerica,ロゾー,,true,15.304193,-61.384225,,土弥尼加,,71293,,,,,,,,,,,,,,,,UN,,,751
沿ドニエストル共和国,沿ドニエストル,DN,,Europe,ティラスポリ,,false,46.840278,29.643333,,,,71293,,,,,,,,,,,,,,,,,,,4163
デンマーク王国,デンマーク,DK,DNK,Europe,コペンハーゲン,オーフス,false,55.6760968,12.5683371,,丁抹,丁,5717014,DEU,,,,,,,,,,,,,,,UN,EU,,43094
ドミニカ共和国,ドミニカ共和国,DO,DOM,NorthAmerica,サントドミンゴ,サンティアゴ・デ・ロス・カバリェロス,true,18.5,-69.9833333,,多米尼加,,10075045,HTI,,,,,,,,,,,,,,,UN,CARICOM,CAIS,48671
